,confirm,country,date,continent
0,41.0,中国,2020.01.13,亚洲
1,41.0,中国,2020.01.14,亚洲
2,41.0,中国,2020.01.15,亚洲
3,45.0,中国,2020.01.16,亚洲
4,62.0,中国,2020.01.17,亚洲
5,198.0,中国,2020.01.18,亚洲
6,275.0,中国,2020.01.19,亚洲
7,291.0,中国,2020.01.20,亚洲
8,440.0,中国,2020.01.21,亚洲
9,574.0,中国,2020.01.22,亚洲
10,835.0,中国,2020.01.23,亚洲
11,1297.0,中国,2020.01.24,亚洲
12,1985.0,中国,2020.01.25,亚洲
13,2761.0,中国,2020.01.26,亚洲
14,4535.0,中国,2020.01.27,亚洲
15,5997.0,中国,2020.01.28,亚洲
16,14.0,泰国,2020.01.28,亚洲
17,7.0,新加坡,2020.01.28,亚洲
18,5.0,美国,2020.01.28,北美洲
19,5.0,澳大利亚,2020.01.28,大洋洲
20,4.0,韩国,2020.01.28,亚洲
21,4.0,马来西亚,2020.01.28,亚洲
22,3.0,法国,2020.01.28,欧洲
23,2.0,加拿大,2020.01.28,北美洲
24,2.0,越南,2020.01.28,亚洲
25,1.0,德国,2020.01.28,欧洲
26,1.0,菲律宾,2020.01.28,亚洲
27,1.0,斯里兰卡,2020.01.28,亚洲
28,1.0,尼泊尔,2020.01.28,亚洲
29,7736.0,中国,2020.01.29,亚洲
30,14.0,泰国,2020.01.29,亚洲
31,10.0,新加坡,2020.01.29,亚洲
32,7.0,澳大利亚,2020.01.29,大洋洲
33,7.0,马来西亚,2020.01.29,亚洲
34,5.0,美国,2020.01.29,北美洲
35,4.0,德国,2020.01.29,欧洲
36,4.0,法国,2020.01.29,欧洲
37,4.0,韩国,2020.01.29,亚洲
38,4.0,阿联酋,2020.01.29,亚洲
39,2.0,加拿大,2020.01.29,北美洲
40,2.0,越南,2020.01.29,亚洲
41,1.0,菲律宾,2020.01.29,亚洲
42,1.0,斯里兰卡,2020.01.29,亚洲
43,1.0,尼泊尔,2020.01.29,亚洲
44,9720.0,中国,2020.01.30,亚洲
45,16.0,新加坡,2020.01.30,亚洲
46,14.0,泰国,2020.01.30,亚洲
47,8.0,澳大利亚,2020.01.30,大洋洲
48,8.0,马来西亚,2020.01.30,亚洲
49,6.0,美国,2020.01.30,北美洲
50,6.0,法国,2020.01.30,欧洲
51,6.0,韩国,2020.01.30,亚洲
52,5.0,越南,2020.01.30,亚洲
53,4.0,德国,2020.01.30,欧洲
54,4.0,阿联酋,2020.01.30,亚洲
55,3.0,加拿大,2020.01.30,北美洲
56,1.0,菲律宾,2020.01.30,亚洲
57,1.0,芬兰,2020.01.30,欧洲
58,1.0,印度,2020.01.30,亚洲
59,1.0,斯里兰卡,2020.01.30,亚洲
60,1.0,尼泊尔,2020.01.30,亚洲
61,11821.0,中国,2020.01.31,亚洲
62,19.0,泰国,2020.01.31,亚洲
63,16.0,新加坡,2020.01.31,亚洲
64,11.0,韩国,2020.01.31,亚洲
65,9.0,澳大利亚,2020.01.31,大洋洲
66,8.0,马来西亚,2020.01.31,亚洲
67,6.0,美国,2020.01.31,北美洲
68,6.0,德国,2020.01.31,欧洲
69,6.0,法国,2020.01.31,欧洲
70,5.0,阿联酋,2020.01.31,亚洲
71,5.0,越南,2020.01.31,亚洲
72,3.0,加拿大,2020.01.31,北美洲
73,2.0,意大利,2020.01.31,欧洲
74,2.0,英国,2020.01.31,欧洲
75,2.0,俄罗斯,2020.01.31,欧洲
76,1.0,瑞典,2020.01.31,欧洲
77,1.0,菲律宾,2020.01.31,亚洲
78,1.0,芬兰,2020.01.31,欧洲
79,1.0,印度,2020.01.31,亚洲
80,1.0,斯里兰卡,2020.01.31,亚洲
81,1.0,柬埔寨,2020.01.31,亚洲
82,1.0,尼泊尔,2020.01.31,亚洲
83,14411.0,中国,2020.02.01,亚洲
84,19.0,泰国,2020.02.01,亚洲
85,18.0,新加坡,2020.02.01,亚洲
86,12.0,韩国,2020.02.01,亚洲
87,12.0,澳大利亚,2020.02.01,大洋洲
88,8.0,马来西亚,2020.02.01,亚洲
89,7.0,美国,2020.02.01,北美洲
90,7.0,德国,2020.02.01,欧洲
91,6.0,法国,2020.02.01,欧洲
92,6.0,越南,2020.02.01,亚洲
93,5.0,阿联酋,2020.02.01,亚洲
94,4.0,加拿大,2020.02.01,北美洲
95,2.0,意大利,2020.02.01,欧洲
96,2.0,西班牙,2020.02.01,欧洲
97,2.0,英国,2020.02.01,欧洲
98,2.0,俄罗斯,2020.02.01,欧洲
99,1.0,瑞典,2020.02.01,欧洲
100,1.0,菲律宾,2020.02.01,亚洲
101,1.0,芬兰,2020.02.01,欧洲
102,1.0,印度,2020.02.01,亚洲
103,1.0,斯里兰卡,2020.02.01,亚洲
104,1.0,柬埔寨,2020.02.01,亚洲
105,1.0,尼泊尔,2020.02.01,亚洲
106,17238.0,中国,2020.02.02,亚洲
107,19.0,泰国,2020.02.02,亚洲
108,18.0,新加坡,2020.02.02,亚洲
109,15.0,韩国,2020.02.02,亚洲
110,12.0,澳大利亚,2020.02.02,大洋洲
111,10.0,德国,2020.02.02,欧洲
112,8.0,美国,2020.02.02,北美洲
113,8.0,马来西亚,2020.02.02,亚洲
114,7.0,越南,2020.02.02,亚洲
115,6.0,法国,2020.02.02,欧洲
116,5.0,阿联酋,2020.02.02,亚洲
117,4.0,加拿大,2020.02.02,北美洲
118,2.0,意大利,2020.02.02,欧洲
119,2.0,西班牙,2020.02.02,欧洲
120,2.0,英国,2020.02.02,欧洲
121,2.0,俄罗斯,2020.02.02,欧洲
122,2.0,菲律宾,2020.02.02,亚洲
123,2.0,印度,2020.02.02,亚洲
124,1.0,瑞典,2020.02.02,欧洲
125,1.0,芬兰,2020.02.02,欧洲
126,1.0,斯里兰卡,2020.02.02,亚洲
127,1.0,柬埔寨,2020.02.02,亚洲
128,1.0,尼泊尔,2020.02.02,亚洲
129,20471.0,中国,2020.02.03,亚洲
130,19.0,泰国,2020.02.03,亚洲
131,18.0,新加坡,2020.02.03,亚洲
132,15.0,韩国,2020.02.03,亚洲
133,12.0,澳大利亚,2020.02.03,大洋洲
134,11.0,美国,2020.02.03,北美洲
135,10.0,德国,2020.02.03,欧洲
136,8.0,马来西亚,2020.02.03,亚洲
137,8.0,越南,2020.02.03,亚洲
138,6.0,法国,2020.02.03,欧洲
139,5.0,阿联酋,2020.02.03,亚洲
